coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Jun 12 03:49:36 +0000 2015,critlib,,https://shar.es/12A4ZM,1,609205887094292480,,,,en,,False,0,,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",And now interview with Troy Swanson on #critlib https://t.co/paYhc0EA34 via @chronicle,https://twitter.com/briandjackson/status/609205887094292480,Sat Apr 02 20:08:29 +0000 2011,briandjackson,False,Disorganized librarian,18,31,90,4,"Calgary, AB",Brian Jackson,briandjackson,130,,,False
,Thu Jun 11 23:38:30 +0000 2015,CritLib,,,0,609142694741315584,LibrarianAngie,609134430461014016,262422224,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@LibrarianAngie I was a little late to the #CritLib party...looking to make up for lost time,https://twitter.com/MATT_ROBERTSPHD/status/609142694741315584,Sat Apr 06 14:13:46 +0000 2013,MATT_ROBERTSPHD,False,"Research Librarian for English, Comparative Literature, and Critical Theory at UC Irvine",80,157,450,3,"Irvine, CA",Matthew Roberts,MATT_ROBERTSPHD,509,,https://altachack.wordpress.com/,False
,Thu Jun 11 23:05:40 +0000 2015,,,http://critlib.tumblr.com/CFP,0,609134430461014016,MATT_ROBERTSPHD,609029756571361280,1331680740,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@MATT_ROBERTSPHD This project is already in the works: http://t.co/hzvmKTwaUm... May be why you're not getting much response.,https://twitter.com/LibrarianAngie/status/609134430461014016,Tue Mar 08 00:59:19 +0000 2011,LibrarianAngie,False,"I teach college students to question everything and critically evaluate their sources of information… In other words, I'm a librarian.",341,722,273,91,"Carrollton, GA",Angela Pashia,LibrarianAngie,4863,Atlantic Time (Canada),http://angelapashia.com,False
,Thu Jun 11 21:48:38 +0000 2015,critlib,,,0,609115048120700928,MATT_ROBERTSPHD,609029756571361280,1331680740,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#critlib need not subscribe to normal publishing procedure. or is there a blog or something for CRITLIB to which one can contribute.,https://twitter.com/MATT_ROBERTSPHD/status/609115048120700928,Sat Apr 06 14:13:46 +0000 2013,MATT_ROBERTSPHD,False,"Research Librarian for English, Comparative Literature, and Critical Theory at UC Irvine",80,157,450,3,"Irvine, CA",Matthew Roberts,MATT_ROBERTSPHD,509,,https://altachack.wordpress.com/,False
,Thu Jun 11 21:02:44 +0000 2015,,,,2,609103496256733184,mauraseale,609058268548329472,2471158008,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@mauraseale @meganjwatson Definitely productive. It was a critlib win as far as I'm concerned!,https://twitter.com/PeaBriddy/status/609103496256733184,Wed Apr 15 19:33:24 +0000 2009,PeaBriddy,False,,192,80,98,6,Seattle,Dave Ellenwood,PeaBriddy,108,Central Time (US & Canada),,False
,Thu Jun 11 20:55:23 +0000 2015,critlib feministpedagogy,,http://education.sla.org/june-12-webinar-on-feminist-pedagogy-and-lis/,0,609101645151133696,,,,en,,False,2,608715862347001859,mariataccardi,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @mariataccardi: So, here is this thing I'm doing on Friday: http://t.co/CIbOS0sV8o #critlib #feministpedagogy",https://twitter.com/justin_mwhite/status/609101645151133696,Tue Oct 11 05:41:30 +0000 2011,justin_mwhite,False,"Historian, Librarian, Tumblr addict. Trying to learn to use time productively.",61,36,95,4,"Fort Myers, Florida",Justin M. White,justin_mwhite,1350,Eastern Time (US & Canada),http://complaintificate.tumblr.com/,False
,Thu Jun 11 20:32:22 +0000 2015,critlib,,,0,609095853656129536,,,,en,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",my inbox is full with messages about #critlib unconference. I can not wait.,https://twitter.com/jimmykingpin/status/609095853656129536,Sun Nov 21 16:37:24 +0000 2010,jimmykingpin,False,Reference & Instruction Librarian,2063,176,293,13,"Madison, WI",James,jimmykingpin,367,Eastern Time (US & Canada),,False
,Thu Jun 11 20:31:16 +0000 2015,critlib,,https://modelviewculture.com/pieces/grooming-students-for-a-lifetime-of-surveillance,0,609095577209430016,,,,en,,False,1,609060782559608832,SarahCrissinger,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SarahCrissinger: #critlib is almost finalized. If you're looking for just 1 reading to look at in-depth, check out Jessy Irwin piece ht…",https://twitter.com/kellymce/status/609095577209430016,Wed Jul 15 21:11:26 +0000 2009,kellymce,False,"That's a great question! | Librarian | Member of @GLBTRT's Stonewall Book Awards Committee | it's all zines and #critlib around here, really",9499,1133,1057,87,"Corvallis, OR",Kelly McElroy,kellymce,16498,Central Time (US & Canada),http://kellymce.tumblr.com,False
,Thu Jun 11 18:46:35 +0000 2015,opened critlib,,http://www.hybridpedagogy.com/journal/why-open-educational-resources-oers-are-important-for-critical-pedagogues/,0,609069233486618625,,,,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Today's reading in #opened #critlib http://t.co/eDTl6IQNqP,https://twitter.com/justin_mwhite/status/609069233486618625,Tue Oct 11 05:41:30 +0000 2011,justin_mwhite,False,"Historian, Librarian, Tumblr addict. Trying to learn to use time productively.",61,36,95,4,"Fort Myers, Florida",Justin M. White,justin_mwhite,1350,Eastern Time (US & Canada),http://complaintificate.tumblr.com/,False
,Thu Jun 11 18:13:01 +0000 2015,critlib,,https://modelviewculture.com/pieces/grooming-students-for-a-lifetime-of-surveillance,1,609060782559608832,,,,en,,False,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#critlib is almost finalized. If you're looking for just 1 reading to look at in-depth, check out Jessy Irwin piece https://t.co/T6twM4v1sx",https://twitter.com/SarahCrissinger/status/609060782559608832,Sat Aug 18 00:42:02 +0000 2012,SarahCrissinger,False,Feminist ice cream junkie with a love for libraries and animals. #InfoLit Librarian at @DavidsonCollLib. Blogger for ACRLog.,3088,294,439,13,"Davidson, NC",Sarah Crissinger,SarahCrissinger,4900,Central Time (US & Canada),http://sarahecrissinger.com,False
